,Qty,Digikey P/N,Value,Device,Package,Parts,Description,,,,,,,,
,1,MBRX120LF-TPMSCT-ND,,DIODE_SOD-123,SOD-123,D1,Library:  MF_Discrete_Semiconductor,,,,,,,,
,4,,,HEADER_01X03_PTH_2.54MM,PTH_2.54MM_01X03,3V3 GND V+ VIN, ,, VIN,Library:  MF_Connectors,,,,,
,1,,,HEADER_01X06_PTH_2.54MM,PTH_2.54MM_01X06,J3,Library:  MF_Connectors,,,,,,,,
,1,,,HEADER_01X10_PTH_2.54MM,PTH_2.54MM_01X10,J2,Library:  MF_Connectors,,,,,,,,
,1,A98333-ND ,,M025MM,SCREWTERMINAL-5MM-2,MOTOR_POWER42,Standard 2-pin 0.1 header. Use with,,,,,,,,
,1,,,M04PTH,1X04,JP6,Header 4,,,,,,,,
,1,CKN10502CT-ND ,,TACT_4.2MM,TACT4.2MM,SW2,Library:  MF_Switches,,,,,,,,
,1,609-4613-1-ND,,USB_MICRO_RIGHT,MICROUSB-RIGHT,J1,Library:  MF_Connectors,,,,,,,,
,,,,,,,,,,,,,,,
,1,490-4516-1-ND,0.01uF,CAP0402 (AVX) 50V 10% cut tape,0402-CAP,C6,Capacitor,,,,,,,,
,8,478-1126-1-ND,0.1uF,CAP0402 (AVX) 16V 10% cut tape,0402-CAP,C1 C2 C3 C4 C5 C9 C14 C15 C16 C19,Capacitor,,,,,,,,
,2,478-10179-1-ND,1.0uF,CAP0402 (AVX) 16V 10% cut tape,0402-CAP,C11 C17,Capacitor,,,,,,,,
,1,478-10067-1-ND,1.0uF,CAP0603 (AVX) 50V 10% cut tape,0603-CAP,C13,Capacitor,,,,,,,,
,1,478-8456-1-ND,10uF tantalum ,RCL_C0805 (AVX) cut tape,RCL_C0805,C10,,,,,,,,,
,1,565-4324-1-ND,100uF electrolytic,CAP_POLD (United Chem Con) 50V 20% cut tape,PANASONIC_D,C12,Capacitor Polarized,,,,,,,,
22pF,2,478-5765-1-ND,18pF in ver. 2.0 (22pf in ver. 1.0),CAP0402 (AVX) 50V 5% cut tape,0402-CAP,C7 C8, C8,Capacitor,,,,,,,
,,,,,,,,,,,,,,,
,3,P17236CT-ND,100K,R-US_R0402-VISHAY (PANASONIC) 1% 0.2W,R0402-VISHAY,R1 R9 R16,RESISTOR, American symbol,,,,,,,
,4,P17230CT-ND,10K,R-US_R0402-VISHAY (PANASONIC) 1% 0.2W,R0402-VISHAY,R2 R3 R20 R21, R2, R3, R4, R6, R11, R20, R21,RESISTOR, American symbol
,2,P16018CT-ND,1k,R-US_R0402-VISHAY (PANASONIC) 1% 0.2W,R0402-VISHAY,R14 R15, R15,RESISTOR, American symbol,,,,,,
,2,P16006CT-ND,.15 Ohm,R-US_R1206 (PANASONIC) 1% 0.5W,R1206,R12  R13,RESISTOR,, American symbol,,,,,,
,2,P17228CT-ND,4.7K,R-US_R0402-VISHAY (PANASONIC) 1% 0.2W,R0402-VISHAY,R7 R8, R8,RESISTOR, American symbol,,,,,,
,1,P17221CT-ND,330,R-US_R0402-VISHAY (PANASONIC),R0402-VISHAY,R5 R6 R10,RESISTOR, American symbol,,,,,,,
,1,P17234CT-ND,47K,0603-RES (0402)(PANASONIC),0603-RES (R0402-VISHAY),R19,,,,,,,,,
,,,,,,,,,,,,,,,
,1,535-10104-1-ND,32.768Khz,"32.768Mhz, 12.5pF load (Abracon)",CRYSTAL2012,Y1 CRYSTAL-SMD-2.0X1.2,Y1,Various standard crystals. Proven footprints. Spark Fun Electronics SKU : COM-00534,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,1,507-1799-1-ND,500mA,PTCSMD,PTC-1206,F1,Resettable Fuse PTC,,,,,,,,
,1,AS5047D-ATSMCT-ND,AS5047D,AS5047D,TSSOP14,U1,,,,,,,,,
,1,620-1384-1-ND,ALLEGRO A4954,AVAGO_DRIVERTHERM,TSSOP16_THERM,U2,,,,,,,,,
,1,74AHC1G125SE-7DICT-ND,74AHC1G125,USB OTG switch logic (“OTG” not used in ver 2.0),SOT23-5,U3,,,,,,,,,
,2,490-5223-1-ND,BLM18PG471SN1D,INDUCTOR0603-TDK,0603-TDK,"L1, L2",,Inductors,,,,,,,
,2,BSS138LT3GOSCT-ND,BSS138,MOSFET-NCHANNELSMD (ON SEMI),SOT23-3,"Q3, Q4", , Q4, Q5,,,,,,
,1,DMG2307L-7DICT-ND,DMG2307L-7,MOSFET-PCHANNELDMG2307L (DIODES INC),MOSFET P-CH 30V 2.5A SOT-23,Q1,,,,,,,,,
,1,,FRAME-LEDGER,FRAME-LEDGER,CREATIVE_COMMONS,FRAME1,Schematic Frame,,,,,,,,
,1,475-1410-1-ND,Green,0044_KPT-2012YC,CHIPLED_0805,LED1,LED YELLOW - SMD - 0805,,,,,,,,
,1,,MECHADUINO_LOGO,MECHADUINO_LOGO,MECHADUINO_LOGO,U$5,,,,,,,,,
,1,,HOLE PATTERN,MOT_GRAPHICS_1,WANTAI_57BYGH115-003B,MOT_GRAPHICS_1,,,,,,,,,
,1,1727-4793-1-ND,NFET,MOSFET-NCHANNEL2N7002PW (NEXPERIA),SOT323,Q2,Common NMOSFET Parts,,,,,,,,
,1,,OSHW-LOGOMOD,OSHW-LOGOMOD,OSHW_LOGO_COPPER_MOD,LOGO4,Open Source Hardware Logo,,,,,,,,
,1,ATSAMD21G18A-AUTCT-ND,SAMD21G18A-AUT,INTEGRATEDCIRCUITS_1792_SAMD21G18A-AUT,INTEGRATEDCIRCUITS_TQFP48-7X7,IC1,Atmel D21 32bit ARM Cortex-M0  microcontroller - 48 PIN TQFP,,,,,,,,
,1,,SHORT-HA5,SHORT-HA5,SHORT_ALL-50,SH1,Short between two nets,,,,,,,,
,1,952-1383-ND,SWD,CONNETTORI_0171_PH127-205DF055G00A,CONNETTORI_PINHEAD-2X5-P127,JP4,2x5 PASSO 1,27,,,,,,,
,1,296-39284-1-ND,TLV70233PDBVR,TLV70233PDBVR 3.3V regulator,SOT-23-5,IC2,Manufacturer Part #: TLV702,,,,,,,,
,1,,TROPICAL_LABS_LOGO_1LOGO3,TROPICAL_LABS_LOGO_1LOGO3,LOGO3,U$3,,,,,,,,,
